city,axis,order,r_norm,r_raw,x,y
Darwin,Warmth (°C),0,1.0,31.2,0.0,1.0
Darwin,Sunshine (hr/day),1,1.0,10.5,0.9511,0.309
Darwin,Rainfall (mm/yr),2,1.0,1835.0,0.5878,-0.809
Darwin,Wind (km/h),3,0.431,17.5,-0.2535,-0.3489
Darwin,Humidity (%),4,0.15,69.8,-0.1427,0.0464
Brisbane,Warmth (°C),0,0.644,25.2,0.0,0.6441
Brisbane,Sunshine (hr/day),1,0.852,10.3,0.8103,0.2633
Brisbane,Rainfall (mm/yr),2,0.392,983.0,0.2303,-0.3169
Brisbane,Wind (km/h),3,0.15,15.8,-0.0882,-0.1214
Brisbane,Humidity (%),4,1.0,73.7,-0.9511,0.309
Melbourne,Warmth (°C),0,0.311,19.5,0.0,0.311
Melbourne,Sunshine (hr/day),1,0.371,9.5,0.353,0.1147
Melbourne,Rainfall (mm/yr),2,0.159,656.3,0.0932,-0.1282
Melbourne,Wind (km/h),3,1.0,20.9,-0.5878,-0.809
Melbourne,Humidity (%),4,0.393,70.9,-0.3738,0.1215
Hobart,Warmth (°C),0,0.15,16.8,0.0,0.15
Hobart,Sunshine (hr/day),1,0.15,9.1,0.1427,0.0464
Hobart,Rainfall (mm/yr),2,0.15,644.4,0.0882,-0.1214
Hobart,Wind (km/h),3,0.475,17.8,-0.279,-0.3841
Hobart,Humidity (%),4,0.9,73.3,-0.8561,0.2782
